temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,surface_pressure,month,hour,heating_season,temp_x_wind,pm2_5
-3.7,56,5.1,0.0,868.3,11,0,1,-18.87,39.0
-17.8,79,10.9,0.1,874.1,12,11,1,-194.02,3.6
-17.8,74,17.2,0.0,873.7,1,15,1,-306.16,2.6
15.5,72,7.2,0.0,863.2,8,6,0,111.60000000000001,15.3
9.0,41,13.0,0.0,860.2,5,10,0,117.0,7.9
16.5,38,9.0,0.0,872.0,6,8,0,148.5,4.9
4.9,86,6.8,0.0,862.3,9,7,0,33.32,5.9
2.8,27,5.8,0.0,873.7,4,22,0,16.24,11.3
18.2,36,8.5,0.0,866.1,9,13,0,154.7,5.3
-8.9,60,12.1,0.0,886.9,10,16,0,-107.69,4.5
14.8,93,7.0,0.0,867.9,7,8,0,103.60000000000001,9.6
13.6,63,8.1,0.0,869.3,9,7,0,110.16,7.2
-2.0,29,8.2,0.0,876.3,11,14,1,-16.4,8.8
-21.0,81,4.1,0.1,881.5,1,2,1,-86.1,32.4
23.4,66,2.9,0.0,869.5,7,19,0,67.86,7.9
14.3,92,4.3,0.0,866.9,7,3,0,61.49,11.6
-11.2,65,8.0,0.0,868.7,3,7,1,-89.6,63.3
9.9,24,11.2,0.0,866.0,5,18,0,110.88,4.0
-4.4,82,8.0,0.0,863.8,2,20,1,-35.2,33.3
5.2,76,9.5,0.0,864.3,10,20,0,49.4,16.5
-0.0,82,2.5,0.0,880.6,10,8,0,-0.0,24.9
-7.5,59,3.4,0.0,868.2,1,15,1,-25.5,12.5
15.2,36,6.8,0.0,874.4,9,12,0,103.36,3.7
-12.6,69,4.8,0.0,876.4,1,18,1,-60.48,37.4
11.2,100,2.9,0.0,870.0,8,4,0,32.48,15.3
21.0,42,9.5,0.0,869.9,6,1,0,199.5,11.7
-3.7,51,5.9,0.0,873.8,3,9,1,-21.830000000000002,35.9
4.9,100,4.7,0.0,868.5,5,5,0,23.03,21.5
5.5,36,13.2,0.0,868.9,10,13,0,72.6,10.2
-9.9,28,14.9,0.0,878.1,3,14,1,-147.51000000000002,3.1
-14.1,59,5.4,0.0,871.0,3,3,1,-76.14,16.6
-1.6,30,7.0,0.0,876.4,11,13,1,-11.200000000000001,10.3
1.7,74,5.2,0.1,860.1,11,17,1,8.84,10.7
17.4,68,11.4,0.0,861.3,8,21,0,198.35999999999999,6.4
